"Interval start","All Packets"
0,28
1,29
2,4
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,2
18,0
19,0
20,2
21,8
22,0
23,4
24,0
25,0
26,0
27,2
28,2
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,4
37,0
38,0
39,0
40,0
41,0
42,0
43,8
44,0
45,4
46,0
47,0
48,0
49,4
50,0
51,0
52,4
53,0
54,0
55,0
56,8
57,2
58,6
59,0
60,0
61,0
62,10
63,2
64,4
65,8
66,0
67,4
68,4
69,0
70,0
71,8
72,0
73,2
74,2
75,4
76,8
77,0
78,4
79,0
80,4
81,0
82,4
83,0
84,4
85,0
86,0
87,4
88,0
89,0
90,12
91,0
92,8
93,0
94,8
95,0
96,8
97,4
98,0
99,0
100,4
101,0
102,0
103,0
104,0
105,12
106,4
107,8
108,2
109,2
110,0
111,4
112,0
113,0
114,0
115,8
116,8
117,4
118,4
119,6
120,0
121,14
122,8
123,4
124,10
125,6
126,4
127,4
128,0
129,4
130,10
131,2
132,0
133,0
134,0
135,8
136,0
137,0
138,0
139,4
140,12
141,0
142,4
143,0
144,0
145,0
146,10
147,2
148,0
149,0
150,0
151,12
152,0
153,4
154,4
155,8
156,0
157,4
158,4
159,0
160,0
161,0
162,0
163,0
164,0
165,12
166,0
167,4
168,4
169,0
170,0
171,4
172,4
173,0
174,0
175,0
176,0
177,0
178,4
179,0
180,4
181,8
182,0
183,0
184,0
185,4
186,0
187,0
188,0
189,4
190,8
191,0
192,4
193,0
194,0
195,0
196,4
197,4
198,0
199,0
200,0
201,0
202,4
203,8
204,2
205,6
206,0
207,0
208,0
209,4
210,0
211,0
212,0
213,4
214,0
215,8
216,0
217,8
218,0
219,0
220,0
221,8
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,8
231,0
232,0
233,4
234,0
235,0
236,0
237,0
238,0
239,0
240,8
241,0
242,4
243,0
244,0
245,0
246,4
247,4
248,0
249,0
250,0
251,0
252,0
253,0
254,4
255,4
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,8
266,0
267,8
268,0
269,0
270,0
271,6
272,2
273,0
274,0
275,0
276,0
277,0
278,0
279,4
280,4
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,8
291,0
292,4
293,0
294,0
295,0
296,8
297,0
298,0
299,0
300,0
301,0
302,0
303,4
304,0
305,4
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,4
322,0
323,0
324,0
325,0
326,0
327,0
328,2
329,0
330,2
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,4
